P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
Denis Gremelmayr,Nikolay Davydenko,1,2,0,0,2
Denis Gremelmayr,Nikolay Davydenko,2,1,15,0,2
Denis Gremelmayr,Nikolay Davydenko,2,2,15,15,2
Denis Gremelmayr,Nikolay Davydenko,2,2,15,30,2
Denis Gremelmayr,Nikolay Davydenko,2,2,15,40,2
Denis Gremelmayr,Nikolay Davydenko,2,1,30,40,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,2
Denis Gremelmayr,Nikolay Davydenko,1,2,0,15,2
Denis Gremelmayr,Nikolay Davydenko,1,2,0,30,2
Denis Gremelmayr,Nikolay Davydenko,1,2,0,40,2
Denis Gremelmayr,Nikolay Davydenko,1,1,15,40,2
Denis Gremelmayr,Nikolay Davydenko,1,2,0,0,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,40,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,2
Denis Gremelmayr,Nikolay Davydenko,1,1,15,0,2
Denis Gremelmayr,Nikolay Davydenko,1,1,30,0,2
Denis Gremelmayr,Nikolay Davydenko,1,1,40,0,2
Denis Gremelmayr,Nikolay Davydenko,1,1,0,0,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,2
Denis Gremelmayr,Nikolay Davydenko,2,1,15,15,2
Denis Gremelmayr,Nikolay Davydenko,2,1,30,15,2
Denis Gremelmayr,Nikolay Davydenko,2,1,40,15,2
Denis Gremelmayr,Nikolay Davydenko,2,2,40,30,2
Denis Gremelmayr,Nikolay Davydenko,2,2,40,40,2
Denis Gremelmayr,Nikolay Davydenko,2,2,40,AD,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,2
Denis Gremelmayr,Nikolay Davydenko,1,2,0,15,2
Denis Gremelmayr,Nikolay Davydenko,1,1,15,15,2
Denis Gremelmayr,Nikolay Davydenko,1,1,30,15,2
Denis Gremelmayr,Nikolay Davydenko,1,2,30,30,2
Denis Gremelmayr,Nikolay Davydenko,1,2,30,40,2
Denis Gremelmayr,Nikolay Davydenko,1,2,0,0,2
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,15,30,3
Denis Gremelmayr,Nikolay Davydenko,2,2,15,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,3
Denis Gremelmayr,Nikolay Davydenko,1,1,15,0,3
Denis Gremelmayr,Nikolay Davydenko,1,2,15,15,3
Denis Gremelmayr,Nikolay Davydenko,1,2,15,30,3
Denis Gremelmayr,Nikolay Davydenko,1,2,15,40,3
Denis Gremelmayr,Nikolay Davydenko,1,1,30,40,3
Denis Gremelmayr,Nikolay Davydenko,1,1,40,40,3
Denis Gremelmayr,Nikolay Davydenko,1,1,AD,40,3
Denis Gremelmayr,Nikolay Davydenko,1,2,40,40,3
Denis Gremelmayr,Nikolay Davydenko,1,1,AD,40,3
Denis Gremelmayr,Nikolay Davydenko,1,1,0,0,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,15,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,30,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,AD,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,0,0,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,1,1,15,30,3
Denis Gremelmayr,Nikolay Davydenko,1,1,30,30,3
Denis Gremelmayr,Nikolay Davydenko,1,1,40,30,3
Denis Gremelmayr,Nikolay Davydenko,1,1,0,0,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,2,1,15,15,3
Denis Gremelmayr,Nikolay Davydenko,2,2,15,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,30,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,40,30,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,AD,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,15,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,30,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,40,30,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,AD,3
Denis Gremelmayr,Nikolay Davydenko,2,1,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,AD,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,AD,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,1,AD,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,40,AD,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,40,3
Denis Gremelmayr,Nikolay Davydenko,1,1,15,40,3
